2019-01-02 22:31:24.639 INFO  budynek1: current battery capacity - 1.0 (EXCESS_MEDIUM)
2019-01-02 22:31:24.671 INFO  akumulator2: informing budynek2 of state and capacity
2019-01-02 22:31:24.671 INFO  budynek2: current battery capacity - 0.9877601578686904 (EXCESS_MEDIUM)
2019-01-02 22:31:24.763 INFO  akumulator3: informing budynek3 of state and capacity
2019-01-02 22:31:24.764 INFO  budynek3: current battery capacity - 1.0 (EXCESS_MEDIUM)
2019-01-02 22:31:24.810 INFO  budynek1: received offer from konsument3 - dostawca2;5.0
2019-01-02 22:31:24.824 INFO  budynek2: received offer from konsument4 - dostawca2;20.0
2019-01-02 22:31:24.840 INFO  budynek2: received offer from konsument5 - dostawca2;25.0
2019-01-02 22:31:24.840 INFO  budynek1: received offer from konsument2 - dostawca1;10.0
2019-01-02 22:31:24.840 INFO  budynek3: received offer from konsument6 - dostawca1;30.0
2019-01-02 22:31:24.841 INFO  budynek1: received offer from konsument1 - dostawca1;10.0
2019-01-02 22:31:24.841 INFO  budynek2: preparing supply plan
2019-01-02 22:31:24.842 INFO  budynek1: preparing supply plan
2019-01-02 22:31:24.841 INFO  budynek3: preparing supply plan
2019-01-02 22:31:24.842 INFO  budynek1: checking battery state
2019-01-02 22:31:24.842 INFO  budynek2: checking battery state
2019-01-02 22:31:24.842 INFO  budynek3: checking battery state

Process finished with exit code -1
